256,0.057768
256,0.046239
256,0.046366
256,0.054237
256,0.046716
512,0.059215
512,0.059283
512,0.059893
512,0.060500
512,0.059095
1024,0.106825
1024,0.114300
1024,0.111547
1024,0.108477
1024,0.108130
2048,0.304903
2048,0.310447
2048,0.314699
2048,0.305404
2048,0.311504
3072,0.625035
3072,0.633905
3072,0.639475
3072,0.632558
3072,0.630655
4096,1.088510
4096,1.091192
4096,1.078843
4096,1.084888
4096,1.092570
5120,1.699693
5120,1.704614
5120,1.692941
5120,1.710663
5120,1.696880
7680,3.774885
7680,3.769780
7680,3.782616
7680,3.774115
7680,3.768318
8192,4.433036
8192,4.459191
8192,4.477096
8192,4.473900
8192,4.463610
10240,6.694341
10240,6.687574
10240,6.697414
10240,6.715446
10240,6.716088
12800,10.424433
12800,10.421903
12800,10.394861
12800,10.386330
12800,10.425596
